,TabFM+,EXAONE-Tabular (default),"AutoGluon 1.6 (noncommercial, 4h)",TabFM (default),"AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.5 (extreme, 4h)",RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabPFNv2 (T+E),TabICLv2 (default),TabPFN-3 (default),RealMLP (T+E),LimiX (default),"AutoGluon 1.4 (best, 4h)",TabM (T+E),Mitra (default),TabDPT (T+E),TabDPT-Turbo (default),CatBoost (T+E),LightGBM (T+E),SAP-RPT-OSS (default),BetaTabPFN (default),xRFM (T+E),ModernNCA (T+E),XGBoost (T+E),iLTM (T+E),ExtraTrees (T+E),EBM (T+E),TabICL (default),FastaiMLP (T+E),TorchMLP (T+E),RandomForest (T+E),ChimeraBoost (T+E),TabSwift (default),KNN (T+E),TabSTAR (T+E),OrionMSP (default),Linear (T+E),PerpetualBooster (T+E),TabFlex (default)
TorchMLP (T+E),0.030158732,0.014285715,0.023809526,0.16349207,0.042857144,0.06666667,0.07619048,0.07936508,0.18571427,0.23492065,0.18571429,0.1936508,0.2984127,0.21428572,0.1904762,0.21428572,0.34603173,0.37619048,0.34126988,0.2984127,0.33015874,0.22222222,0.36349207,0.45238099,0.36984128,0.42222223,0.5857143,0.36666664,0.6111111,0.57460314,,0.60476196,0.44126984,0.51746035,0.731746,0.90000004,0.8333333,0.90952384,0.88571423,0.9952381
RandomForest (T+E),0.14126985,0.10476191,0.15396826,0.16666666,0.16825397,0.14444445,0.1904762,0.22380953,0.23333333,0.19047618,0.18571429,0.1952381,0.15555556,0.33174604,0.34126982,0.22857141,0.2761905,0.25238094,0.31428573,0.37936512,0.42857143,0.40476194,0.35873014,0.23809525,0.3809524,0.33968255,0.25873017,0.44285712,0.2761905,0.43333334,0.3952381,,0.58571434,0.5523809,0.9111112,0.8365079,0.8507937,0.5952381,0.91587305,0.884127
ChimeraBoost (T+E),0.015873017,0.0,0.0,0.14761904,0.0,0.025396826,0.082539685,0.0984127,0.15714286,0.17936508,0.1952381,0.115873024,0.17777778,0.123809524,0.1873016,0.17936508,0.26825398,0.3666667,0.23968254,0.12698413,0.5190476,0.32539684,0.26984128,0.4301587,0.37142858,0.3873016,0.3809524,0.4857143,0.5,0.468254,0.5587301,0.4142857,,0.53650796,0.72698414,0.8920635,0.9047619,0.8142857,0.9095238,0.9904762
TabSwift (default),0.025396826,0.004761905,0.00952381,0.15714286,0.01904762,0.00952381,0.03015873,0.07777778,0.17142858,0.15714286,0.12698413,0.23650794,0.22222222,0.23809525,0.21904762,0.18571429,0.19523811,0.24603175,0.23492064,0.26666668,0.40952381,0.31111112,0.2015873,0.3873016,0.41269842,0.3888889,0.384127,0.3936508,0.30476192,0.54761904,0.4825397,0.44761905,0.4634921,,0.8126984,0.8,0.947619,0.66190475,0.93015873,0.96666664
KNN (T+E),0.06825397,0.057142857,0.052380953,0.14761904,0.052380953,0.04761905,0.13015874,0.10000001,0.17619048,0.14761904,0.12698413,0.13492064,0.115873024,0.1904762,0.12539683,0.14285715,0.057142857,0.14603175,0.16190478,0.17142858,0.40476188,0.17619048,0.073015876,0.15079366,0.19841269,0.19365081,0.044444446,0.24285714,0.14761904,0.33492064,0.26825398,0.08888889,0.2730159,0.1873016,,0.44761902,0.4079365,0.44285712,0.6809524,0.5095238
TabSTAR (T+E),0.020634921,0.004761905,0.004761905,0.14761904,0.004761905,0.004761905,0.004761905,0.004761905,0.15238096,0.14761904,0.04761905,0.046031747,0.06825397,0.06507937,0.044444446,0.15238096,0.16666666,0.1968254,0.03015873,0.03809524,0.31746033,0.044444446,0.057142857,0.12222222,0.055555556,0.12222222,0.16190477,0.053968254,0.2936508,0.21746032,0.1,0.16349207,0.10793651,0.20000002,0.552381,,0.4,0.5619048,0.64761907,0.4952381
OrionMSP (default),0.00952381,0.004761905,0.01904762,0.13650794,0.033333335,0.004761905,0.00952381,0.023809524,0.16190477,0.16190477,0.004761905,0.00952381,0.052380953,0.08888889,0.042857144,0.16666666,0.028571429,0.042857144,0.01904762,0.057142857,0.34285715,0.08571429,0.01904762,0.044444446,0.033333335,0.10634921,0.06031746,0.09047619,0.17142858,0.29047617,0.16666667,0.14920636,0.0952381,0.052380953,0.5920635,0.59999996,,0.4809524,0.7174603,0.7571429
Linear (T+E),0.004761905,0.0,0.004761905,0.004761905,0.004761905,0.01904762,0.004761905,0.014285714,0.00952381,0.00952381,0.00952381,0.004761905,0.00952381,0.03809524,0.028571429,0.014285715,0.2,0.1952381,0.028571429,0.08095238,0.13809524,0.042857144,0.028571429,0.073015876,0.03809524,0.13968255,0.34444445,0.053968254,0.20000002,0.13333334,0.09047619,0.40476194,0.18571427,0.33809525,0.55714285,0.43809524,0.5190476,,0.53333336,0.5714286
PerpetualBooster (T+E),0.014285714,0.00952381,0.01904762,0.004761905,0.028571429,0.004761905,0.00952381,0.023809524,0.01904762,0.01904762,0.01904762,0.014285714,0.014285714,0.042857144,0.033333335,0.033333335,0.05079365,0.06507937,0.01904762,0.042857144,0.17142858,0.04761905,0.061904762,0.014285714,0.028571429,0.08730159,0.07460318,0.057142857,0.03809524,0.22380951,0.114285715,0.08412699,0.09047619,0.06984127,0.31904763,0.35238096,0.2825397,0.4666667,,0.53174603
TabFlex (default),0.0,0.0,0.0,0.07936508,0.0,0.0,0.0,0.0,0.14285715,0.12698413,0.0,0.0,0.015873017,0.036507938,0.0,0.14285715,0.0,0.0,0.0,0.0,0.26507935,0.0,0.004761905,0.004761905,0.004761905,0.0,0.04761905,0.004761905,0.14285715,0.057142857,0.004761905,0.115873024,0.00952381,0.033333335,0.49047616,0.5047619,0.24285714,0.42857143,0.46825394,
