#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
16,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1415.0,+80/-64,0.32,28.79,17.81,16.178,5.1,0.187,➖,0.0,False,GPU,model,
17,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1407.0,+66/-72,0.311,29.43,18.28,16.003,3855.77,0.954,✔️,0.0,False,GPU,model,
18,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [8.33% IMPUTED],1404.0,+80/-47,0.283,29.74,18.79,16.687,128.84,2.999,✔️,8.33,True,GPU,model,
19,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1400.0,+82/-82,0.321,30.03,11.39,15.096,34.03,7.205,➖,0.0,False,GPU,model,
20,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1388.0,+77/-65,0.318,31.03,19.29,16.42,8061.74,39.456,✔️,0.0,False,GPU,model,
21,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1372.0,+72/-62,0.274,32.42,14.73,16.71,2564.23,3.453,✔️,0.0,False,GPU,model,
22,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1360.0,+53/-51,0.23,33.47,23.06,17.131,22680.19,529.126,✔️,0.0,False,GPU,model,
23,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1354.0,+41/-43,0.179,34.04,28.35,17.702,833.09,2.182,✔️,0.0,False,CPU,model,
24,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1352.0,+60/-50,0.213,34.14,19.74,16.593,1827.95,0.048,✔️,0.0,False,CPU,model,
25,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1346.0,+55/-59,0.192,34.75,28.16,17.046,1827.95,0.391,✔️,0.0,False,CPU,model,
26,🧠⚡,Foundation Model,[TabPFNv2 (tuned)](https://www.nature.com/articles/s41586-024-08328-6) [8.33% IMPUTED],1344.0,+77/-69,0.248,34.85,23.04,17.687,3560.23,0.519,✔️,8.33,True,GPU,model,
27,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1342.0,+72/-63,0.238,35.06,20.04,17.325,2564.23,0.453,✔️,0.0,False,GPU,model,
28,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1338.0,+61/-55,0.222,35.46,24.03,18.059,2.54,0.058,➖,0.0,False,GPU,model,
29,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1313.0,+66/-54,0.201,37.72,22.42,18.323,1346.82,2.149,✔️,0.0,False,GPU,model,
30,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1308.0,+50/-44,0.139,38.15,30.13,18.607,886.81,1.98,✔️,0.0,False,CPU,model,
31,🧠⚡,Foundation Model,[TabPFNv2 (default)](https://www.nature.com/articles/s41586-024-08328-6) [8.33% IMPUTED],1303.0,+76/-64,0.222,38.58,17.98,18.334,4.98,0.511,✔️,8.33,True,GPU,model,
32,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1301.0,+66/-57,0.144,38.76,28.12,19.367,1286.69,0.465,✔️,0.0,False,CPU,model,
33,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1296.0,+61/-60,0.196,39.22,16.69,19.387,6343.61,8.545,✔️,0.0,False,GPU,model,
34,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1296.0,+49/-48,0.14,39.29,33.36,18.676,833.09,0.435,✔️,0.0,False,CPU,model,
35,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1294.0,+83/-77,0.223,39.44,23.51,18.779,51.79,39.921,✔️,0.0,False,GPU,model,
36,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1294.0,+51/-52,0.127,39.44,23.85,18.727,886.81,0.318,✔️,0.0,False,CPU,model,
37,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1294.0,+40/-43,0.132,39.47,33.83,18.93,9.04,0.041,✔️,0.0,False,CPU,model,
