prompt_id,filename,class_id,class_name,class_name_fa,rows,duodit_wins,lightningdit_wins,ties,decisive_rows,duodit_win_rate_decisive_pct,duodit_share_all_pct,lightningdit_share_all_pct,tie_share_all_pct,duodit_wilson95_low,duodit_wilson95_high,binomial_p_value_vs_50_50,option_a_selected,option_b_selected,about_same_selected,duodit_shown_left,duodit_shown_right
class_0310_002310,class_0310/002310-class0310.png,310,ant,مورچه,14,8,2,4,10,80.0,57.14,14.29,28.57,0.4902,0.9433,0.109375,5,5,4,5,9
class_0359_000359,class_0359/000359-class0359.png,359,black-footed ferret,سمور پاسیاه,14,9,3,2,12,75.0,64.29,21.43,14.29,0.4677,0.9111,0.145996,8,4,2,8,6
class_0359_001359,class_0359/001359-class0359.png,359,black-footed ferret,سمور پاسیاه,14,0,6,8,6,0.0,0.0,42.86,57.14,0.0,0.3903,0.03125,4,2,8,5,9
class_0359_002359,class_0359/002359-class0359.png,359,black-footed ferret,سمور پاسیاه,14,3,6,5,9,33.33,21.43,42.86,35.71,0.1206,0.6458,0.507812,5,4,5,9,5
class_0364_000364,class_0364/000364-class0364.png,364,three-toed sloth,تنبل سه‌انگشتی,14,1,2,11,3,33.33,7.14,14.29,78.57,0.0615,0.7923,1.0,2,1,11,7,7
class_0364_001364,class_0364/001364-class0364.png,364,three-toed sloth,تنبل سه‌انگشتی,14,7,4,3,11,63.64,50.0,28.57,21.43,0.3538,0.8483,0.548828,6,5,3,5,9
class_0364_002364,class_0364/002364-class0364.png,364,three-toed sloth,تنبل سه‌انگشتی,14,11,1,2,12,91.67,78.57,7.14,14.29,0.6461,0.9851,0.006348,5,7,2,5,9
class_0392_000392,class_0392/000392-class0392.png,392,rock beauty,ماهی فرشته‌ای صخره‌ای,14,0,13,1,13,0.0,0.0,92.86,7.14,0.0,0.2281,0.000244,9,4,1,5,9
class_0392_001392,class_0392/001392-class0392.png,392,rock beauty,ماهی فرشته‌ای صخره‌ای,14,6,2,6,8,75.0,42.86,14.29,42.86,0.4093,0.9285,0.289063,5,3,6,9,5
class_0392_002392,class_0392/002392-class0392.png,392,rock beauty,ماهی فرشته‌ای صخره‌ای,14,2,9,3,11,18.18,14.29,64.29,21.43,0.0514,0.477,0.06543,8,3,3,6,8
class_0403_000403,class_0403/000403-class0403.png,403,aircraft carrier,ناو هواپیمابر,14,0,13,1,13,0.0,0.0,92.86,7.14,0.0,0.2281,0.000244,7,6,1,6,8
class_0403_001403,class_0403/001403-class0403.png,403,aircraft carrier,ناو هواپیمابر,14,2,12,0,14,14.29,14.29,85.71,0.0,0.0401,0.3994,0.012939,6,8,0,10,4
class_0403_002403,class_0403/002403-class0403.png,403,aircraft carrier,ناو هواپیمابر,14,1,11,2,12,8.33,7.14,78.57,14.29,0.0149,0.3539,0.006348,6,6,2,8,6
class_0412_000412,class_0412/000412-class0412.png,412,ashcan,سطل زباله,14,2,9,3,11,18.18,14.29,64.29,21.43,0.0514,0.477,0.06543,6,5,3,5,9
class_0412_001412,class_0412/001412-class0412.png,412,ashcan,سطل زباله,14,5,5,4,10,50.0,35.71,35.71,28.57,0.2366,0.7634,1.0,6,4,4,6,8
class_0412_002412,class_0412/002412-class0412.png,412,ashcan,سطل زباله,14,11,0,3,11,100.0,78.57,0.0,21.43,0.7412,1.0,0.000977,7,4,3,9,5
class_0427_000427,class_0427/000427-class0427.png,427,barrel,بشکه,14,0,11,3,11,0.0,0.0,78.57,21.43,0.0,0.2588,0.000977,7,4,3,6,8
class_0427_001427,class_0427/001427-class0427.png,427,barrel,بشکه,14,5,4,5,9,55.56,35.71,28.57,35.71,0.2666,0.8112,1.0,5,4,5,5,9
class_0427_002427,class_0427/002427-class0427.png,427,barrel,بشکه,14,3,4,7,7,42.86,21.43,28.57,50.0,0.1582,0.7495,1.0,4,3,7,8,6
class_0440_000440,class_0440/000440-class0440.png,440,beer bottle,بطری آبجو,14,7,2,5,9,77.78,50.0,14.29,35.71,0.4526,0.9368,0.179687,6,3,5,8,6
class_0440_001440,class_0440/001440-class0440.png,440,beer bottle,بطری آبجو,14,0,13,1,13,0.0,0.0,92.86,7.14,0.0,0.2281,0.000244,9,4,1,5,9
class_0440_002440,class_0440/002440-class0440.png,440,beer bottle,بطری آبجو,14,0,9,5,9,0.0,0.0,64.29,35.71,0.0,0.2992,0.003906,6,3,5,6,8
class_0454_000454,class_0454/000454-class0454.png,454,bookshop,کتابفروشی,14,11,1,2,12,91.67,78.57,7.14,14.29,0.6461,0.9851,0.006348,4,8,2,4,10
class_0454_001454,class_0454/001454-class0454.png,454,bookshop,کتابفروشی,14,8,1,5,9,88.89,57.14,7.14,35.71,0.565,0.9801,0.039062,2,7,5,6,8
class_0454_002454,class_0454/002454-class0454.png,454,bookshop,کتابفروشی,14,0,11,3,11,0.0,0.0,78.57,21.43,0.0,0.2588,0.000977,6,5,3,7,7
class_0471_000471,class_0471/000471-class0471.png,471,cannon,توپ,14,2,7,5,9,22.22,14.29,50.0,35.71,0.0632,0.5474,0.179687,5,4,5,6,8
class_0471_001471,class_0471/001471-class0471.png,471,cannon,توپ,14,1,10,3,11,9.09,7.14,71.43,21.43,0.0162,0.3774,0.011719,7,4,3,6,8
class_0471_002471,class_0471/002471-class0471.png,471,cannon,توپ,14,6,6,2,12,50.0,42.86,42.86,14.29,0.2538,0.7462,1.0,8,4,2,8,6
class_0476_000476,class_0476/000476-class0476.png,476,carousel,چرخ‌وفلک,14,0,6,8,6,0.0,0.0,42.86,57.14,0.0,0.3903,0.03125,4,2,8,6,8
class_0476_001476,class_0476/001476-class0476.png,476,carousel,چرخ‌وفلک,14,7,2,5,9,77.78,50.0,14.29,35.71,0.4526,0.9368,0.179687,7,2,5,7,7
class_0476_002476,class_0476/002476-class0476.png,476,carousel,چرخ‌وفلک,14,3,2,9,5,60.0,21.43,14.29,64.29,0.2307,0.8824,1.0,2,3,9,7,7
class_0478_000478,class_0478/000478-class0478.png,478,carton,کارتن,14,4,9,1,13,30.77,28.57,64.29,7.14,0.1268,0.5763,0.266846,6,7,1,5,9
class_0478_001478,class_0478/001478-class0478.png,478,carton,کارتن,14,9,1,4,10,90.0,64.29,7.14,28.57,0.5958,0.9821,0.021484,5,5,4,7,7
class_0478_002478,class_0478/002478-class0478.png,478,carton,کارتن,14,9,0,5,9,100.0,64.29,0.0,35.71,0.7008,1.0,0.003906,8,1,5,10,4
class_0484_000484,class_0484/000484-class0484.png,484,catamaran,کاتاماران,14,10,2,2,12,83.33,71.43,14.29,14.29,0.552,0.953,0.038574,6,6,2,9,5
class_0484_001484,class_0484/001484-class0484.png,484,catamaran,کاتاماران,14,14,0,0,14,100.0,100.0,0.0,0.0,0.7847,1.0,0.000122,8,6,0,8,6
class_0484_002484,class_0484/002484-class0484.png,484,catamaran,کاتاماران,14,8,3,3,11,72.73,57.14,21.43,21.43,0.4343,0.9025,0.226563,6,5,3,9,5
class_0494_000494,class_0494/000494-class0494.png,494,chime,زنگ آویز,14,1,13,0,14,7.14,7.14,92.86,0.0,0.0127,0.3147,0.001831,7,7,0,8,6
class_0494_001494,class_0494/001494-class0494.png,494,chime,زنگ آویز,14,13,0,1,13,100.0,92.86,0.0,7.14,0.7719,1.0,0.000244,8,5,1,9,5
class_0494_002494,class_0494/002494-class0494.png,494,chime,زنگ آویز,14,3,6,5,9,33.33,21.43,42.86,35.71,0.1206,0.6458,0.507812,4,5,5,7,7
class_0502_000502,class_0502/000502-class0502.png,502,clog,کفش چوبی,14,14,0,0,14,100.0,100.0,0.0,0.0,0.7847,1.0,0.000122,9,5,0,9,5
class_0502_001502,class_0502/001502-class0502.png,502,clog,کفش چوبی,14,1,12,1,13,7.69,7.14,85.71,7.14,0.0137,0.3331,0.003418,6,7,1,6,8
class_0502_002502,class_0502/002502-class0502.png,502,clog,کفش چوبی,14,1,11,2,12,8.33,7.14,78.57,14.29,0.0149,0.3539,0.006348,4,8,2,9,5
class_0503_000503,class_0503/000503-class0503.png,503,cocktail shaker,شیکر کوکتل,14,1,10,3,11,9.09,7.14,71.43,21.43,0.0162,0.3774,0.011719,6,5,3,9,5
class_0503_001503,class_0503/001503-class0503.png,503,cocktail shaker,شیکر کوکتل,14,4,5,5,9,44.44,28.57,35.71,35.71,0.1888,0.7334,1.0,5,4,5,9,5
class_0503_002503,class_0503/002503-class0503.png,503,cocktail shaker,شیکر کوکتل,14,0,11,3,11,0.0,0.0,78.57,21.43,0.0,0.2588,0.000977,6,5,3,8,6
class_0507_000507,class_0507/000507-class0507.png,507,combination lock,قفل رمزی,14,3,7,4,10,30.0,21.43,50.0,28.57,0.1078,0.6032,0.34375,6,4,4,5,9
class_0507_001507,class_0507/001507-class0507.png,507,combination lock,قفل رمزی,14,8,1,5,9,88.89,57.14,7.14,35.71,0.565,0.9801,0.039062,4,5,5,4,10
class_0507_002507,class_0507/002507-class0507.png,507,combination lock,قفل رمزی,14,3,7,4,10,30.0,21.43,50.0,28.57,0.1078,0.6032,0.34375,4,6,4,9,5
class_0519_000519,class_0519/000519-class0519.png,519,crate,صندوق,14,3,6,5,9,33.33,21.43,42.86,35.71,0.1206,0.6458,0.507812,5,4,5,8,6
class_0519_001519,class_0519/001519-class0519.png,519,crate,صندوق,14,1,8,5,9,11.11,7.14,57.14,35.71,0.0199,0.435,0.039062,5,4,5,6,8
class_0519_002519,class_0519/002519-class0519.png,519,crate,صندوق,14,1,8,5,9,11.11,7.14,57.14,35.71,0.0199,0.435,0.039062,5,4,5,7,7
class_0524_000524,class_0524/000524-class0524.png,524,cuirass,زره سینه,14,12,1,1,13,92.31,85.71,7.14,7.14,0.6669,0.9863,0.003418,5,8,1,6,8
class_0524_001524,class_0524/001524-class0524.png,524,cuirass,زره سینه,14,6,6,2,12,50.0,42.86,42.86,14.29,0.2538,0.7462,1.0,5,7,2,9,5
class_0524_002524,class_0524/002524-class0524.png,524,cuirass,زره سینه,14,2,8,4,10,20.0,14.29,57.14,28.57,0.0567,0.5098,0.109375,6,4,4,4,10
