ucod,nombre,cod_depto,fis,clima,pend,cons_amb,inund,cn,rodadura
R6_SC05_16,Boyuibe - Hito Iii (Villazón),SC,4.3,3.2,2,1.8,2,1.5,4
R7_CO06_01,Cochabamba - Carmelitas,CO,3.7,4,2.3,3.4,3,2.1,1
R7_CO06_02,Carmelitas - Paracaya,CO,4,4,2.5,4,3,2.1,1
R7_CO07_03,Paracaya - Epizana,CO,4.2,4,2.7,4.5,3,2.9,1
R7_CO08_04,Epizana - Comarapa,CO,4,4,2.9,4.2,3,2.7,1
R7_SC08_05,Comarapa - La Palizada,SC,4.1,4,2.4,4,3,3,1
R7_SC08_06,La Palizada - Mataral,SC,4.1,4,2.4,3.9,3,3,1
R7_SC08_07,Mataral - Sanaipata,SC,4.5,3.2,2.6,3.8,3.2,2.8,1
R7_SC08_08,Sanaipata - Porvenir,SC,3,2,2.3,4.2,3,2.7,1
R7_SC07_09,Porvenir - Buena Vista,SC,2.5,2,2,4,3.1,1.9,3
R8_LP03R_01,Yucumo - San Buenaventura,LP,4.3,2,2,3,3,1.8,1
R8_LP01R_02,San Buenaventura - Santa Rosa,LP,5,2,2,2.1,3,1.1,3
R8_LP01R_03,Santa Rosa - Australia,LP,5,2,2,2.5,3,1.2,3
R8_LP01R_04,Australia - El Choro,LP,5,2,2,2.6,3,1,3
R8_LP01R_05,El Choro - Riberalta,LP,5,2,2,2.8,3.2,1.5,3
R8_PD05_06,Riberalta - Guayaramerin,PD,5,2,2,2.7,3,2.2,1
R9_BN06_01,Guayaramerin - La Moroña (Cr. Pto. Ustárez),BN,5,2,2,2.6,3.2,1.3,4
R9_BN05_02,Puerto Ustarez - La Moroña (Cr. Pto. Ustárez),BN,5,2,2,2.6,3,1,4
R9_BN05_03,La Moroña (Cr. Pto. Ustárez) - San Ramón,BN,5,2,2,2.8,3,1,4
R9_BN05_04,San Ramón - San Javier,BN,5,2,2,2,3.1,1,4
R9_NA01bn_05,San Javier - Trinidad,BN,5,2,2,2.2,3,1,1
R9_NA01bn_06,Trinidad - Casarabe,BN,5,2,2,2.3,3.3,1,1
R9_NA01bn_07,Casarabe - San Pablo,BN,5,2,2,2.3,3.5,1.2,1
R9_NA01bn_08,San Pablo - Ascenciòn De Guarayos,BN,4.9,2,2,2.4,3.3,1.6,1
R9_NA01bn_09,Ascenciòn De Guarayos - San Ramon,BN,4.2,2,2,3.5,3.2,3.2,1
R9_NA01sc_10,San Ramon - Los Troncos,SC,5,2,2,2.7,3.1,2.9,1
R9_NA01sc_11,Los Troncos - Cuatro Cañadas,SC,5,2,2,2.7,3,3.6,1
R9_SC02-B_12,Cuatro Cañadas - Paraiso,SC,5,2,2,2.5,3,1.6,1
R9_SC02-A_13,Santa Cruz - Porvenir,SC,3.5,2,2,3.7,3,2.7,1
R9_SC02-A_14,Porvenir - Abapó,SC,3.8,2.1,2,3.2,3,3,1
R9_SC03_15,Abapó - Ipita,SC,3.1,4,2.2,3.3,3,3.1,1
R9_SC03_16,Ipita - Ipati,SC,3.7,4,2.1,3.9,3.1,2.6,1
R9_TJ01_17,Boyuibe - Villa Montes,TJ,3,4,2,3.7,2,2.5,1
R9_TJ01_18,Villa Montes - Campo Pajoso,TJ,3.1,3.7,2,3.5,2,3.5,1
R9_TJ01_19,Campo Pajoso - Yacuiba,TJ,3.4,2,2.1,3.6,2,4.3,2
R9_TJ01_20,Yacuiba - Pocitos,TJ,4,2,2.3,3.5,2,4.6,2
R10_SC11-B_01,Sagrado Corazon - Colonia Pirai,SC,5,2,2,2.5,3.3,2,1
R10_SC11-B_02,Chane - Sagrado Corazon,SC,5,2,2,2.8,3.1,2.4,1
R10_SC11-B_03,Mineros - Chane,SC,5,2,2,2.8,3,2.9,1
R10_SC11-B_04,General Saavedra - Mineros,SC,5,2,2,2.6,3,2.8,1
R10_SC11-B_05,Guabira - General Saavedra,SC,5,2,2,2.6,3,2.8,1
R10_SC11-B_06,Guabira - Okinawa,SC,5,2,2,2.5,3,2.8,1
R10_SC11-B_07,Okinawa - Los Troncos,SC,5,2,2,2.4,3,2.9,4
R10_SC02S_08,San Ramon - Concepción,SC,4.7,2,2,3.6,3,4.2,1
R10_SC02S_09,Concepción - Río Uruguayito,SC,5,2,2,2.5,3,3.4,1
R10_SC02S_10,Río Uruguayito - Com. Sta. Rosa De Las Rocas,SC,5,2,2,2.5,3,2.6,1
R10_SC05S_11,Puerto Villazon - Com. Sta. Rosa De Las Rocas,SC,5,2,2,2.3,3,3.7,4
R10_SC02S_12,Com. Sta. Rosa De Las Rocas - San Ignacio De Velazco,SC,4.9,2,2,2.9,3,2.8,1
R10_SC04S_13,San Ignacio De Velazco - San Bartolo,SC,4.9,2,2,2.6,3.1,3.1,4
R10_SC04S_14,San Bartolo - San Matias,SC,5,2,2,2.2,2.7,2.5,4
R11_TJ02_01,El Portillo - Canaletas,TJ,3.8,4,2.3,3.9,2,2.5,1
R11_TJ02_02,Canaletas - Entre  Rios,TJ,4.1,4,2.6,4.4,2.1,3.5,4
R11_TJ02_03,Entre  Rios - Palos Blancos,TJ,3.7,3.9,2.3,3.8,2.1,3.8,1
R11_TJ02_04,Palos Blancos - Isiri,TJ,3,4,2.2,3.1,2,4.7,1
R11_TJ02_05,Isiri - La Central,TJ,3.4,4,2.6,3.8,2,4.4,3
R11_TJ02_06,La Central - Villa Montes,TJ,3.6,4,2.5,3.9,2.1,3.1,4
R11_TJ01_07,Villa Montes - La Vertiente (Ypfb),TJ,4.3,4,2,2.9,2.6,1.4,3
R11_TJ01_08,La Vertiente (Ypfb) - Palo Marcado,TJ,3.7,4,2,2.5,2.7,1.7,3
R11_TJ01_09,Palo Marcado - Hito Vr 94 (Eulogio Ruiz),TJ,3.9,4,2,2,2.2,1.3,1
R12_OR02_01,Caihuasi - Oruro,OR,3.7,4,2,3,1,3,1
R12_OR06_02,Oruro - Toledo,OR,3.9,4,2,2.4,1.8,2.9,1
R12_OR06_03,Toledo - Ancaravi,OR,4.2,4,2,2.6,1.2,2.9,1
R12_OR06_04,Ancaravi - Huachacalla,OR,3.8,4,2,2.3,1.2,3,1
R12_OR06_05,Huachacalla - Pisiga,OR,3.3,4,2.4,3.2,1.4,3.7,1
