tf,strats,dir,dir_correct,median
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,SUPER,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,PED|SUPER,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,PED,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,BULLISH,1,1
1D,SUPER,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,PED,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,S9,NEUTRAL,0,1
1D,S5,NEUTRAL,1,1
1D,S5,NEUTRAL,0,1
1D,S5,NEUTRAL,1,1
1D,S5,NEUTRAL,0,1
1D,S5,NEUTRAL,0,1
1D,S10|S5|S5V2,NEUTRAL,0,1
1D,S5,NEUTRAL,1,1
1D,S5,NEUTRAL,0,1
1D,S5,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,S20,NEUTRAL,0,0
1D,MFS|NIRA|PED|S13|S2|S20|S3|SUPER,NEUTRAL,1,1
1D,MFS|S13|S3,NEUTRAL,1,1
1D,MFS|S3|S4,NEUTRAL,1,1
1D,MFS|S5,NEUTRAL,1,1
1D,MFS|S20|S4|S4V2|S5,NEUTRAL,1,1
1D,MFS|S5,NEUTRAL,1,1
1D,MFS|S5|S_SEASONAL,NEUTRAL,0,1
1D,MFS|S17|S20|S5|S_SEASONAL,NEUTRAL,0,1
1D,MFS|S5|S_SEASONAL,NEUTRAL,1,1
1D,MFS|S5|S5V2,NEUTRAL,1,1
1D,MFS|S5|S5V2,NEUTRAL,1,1
1D,MFS|S5|S5V2,NEUTRAL,0,1
1D,MFS|S12,NEUTRAL,0,1
1D,MFS|S20|SUPER,NEUTRAL,0,1
1D,MFS,NEUTRAL,1,1
1D,MFS,NEUTRAL,0,0
1D,S5,NEUTRAL,1,1
1D,S5,NEUTRAL,1,1
1D,S5,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,PED,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,SUPER,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,S20,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,S20,NEUTRAL,1,1
1D,MFS,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,BULLISH,0,0
1D,,NEUTRAL,0,0
1D,,NEUTRAL,1,1
1D,,BULLISH,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,0
1D,,BEARISH,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,BEARISH,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,0
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,BEARISH,0,0
1D,,BULLISH,0,0
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,BULLISH,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,BULLISH,1,0
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,0
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,SUPER,NEUTRAL,0,1
1D,PED|S3,NEUTRAL,0,1
1D,PED|S3,NEUTRAL,1,1
1D,S3,NEUTRAL,1,1
1D,S3,NEUTRAL,1,1
1D,S3,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,PED,BEARISH,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,BULLISH,1,0
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,BEARISH,1,1
1D,,BEARISH,1,0
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,BULLISH,1,1
1D,PED|SUPER,BEARISH,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,0
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,S9,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,S_CAPFLOW,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,PED|S20|SUPER,BEARISH,1,1
1D,PED|S20,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,S_SEASONAL,NEUTRAL,0,1
1D,PED|S20|S_SEASONAL,NEUTRAL,0,1
1D,PED|S20,BEARISH,1,0
1D,,NEUTRAL,1,1
1D,PED,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,S12,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,BEARISH,1,1
1D,,BEARISH,1,0
1D,,BULLISH,1,0
1D,PED|SUPER,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,BEARISH,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,PED|S20,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,S20,NEUTRAL,0,1
1D,PED|S20,NEUTRAL,1,1
1D,PED|S20,BEARISH,1,1
1D,,NEUTRAL,0,1
1D,,BULLISH,0,0
1D,,BULLISH,1,1
1D,,BULLISH,0,0
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,0
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,BULLISH,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,BEARISH,0,0
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,BEARISH,0,0
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,BULLISH,0,0
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,BEARISH,0,0
1D,,BEARISH,0,0
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,BULLISH,0,1
1D,,NEUTRAL,0,1
1D,,BEARISH,0,0
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,BULLISH,0,0
1D,,NEUTRAL,0,0
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,BEARISH,0,0
1D,,BULLISH,1,1
1D,,BULLISH,1,1
1D,,BULLISH,1,1
