#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
54,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1161.0,+74/-91,0.157,47.53,12.17,24.746,25373.34,14.078,✔️,0.0,False,GPU
55,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1151.0,+49/-59,0.021,48.32,37.11,23.197,169.75,0.603,✔️,0.0,False,CPU
56,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),1144.0,+75/-77,0.094,48.86,32.36,24.301,14.46,2.705,➖,0.0,False,GPU
57,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1120.0,+41/-61,0.008,50.71,39.9,23.852,169.75,0.059,✔️,0.0,False,CPU
58,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1100.0,+58/-76,0.033,52.13,39.32,25.651,117.85,0.773,✔️,0.0,False,CPU
59,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1098.0,+54/-48,0.014,52.29,38.82,24.161,4.95,0.091,✔️,0.0,False,CPU
60,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),1067.0,+59/-77,0.019,54.45,42.1,27.022,117.85,0.29,✔️,0.0,False,CPU
61,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),1066.0,+61/-85,0.011,54.52,35.64,25.475,2.56,0.267,✔️,0.0,False,CPU
62,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),1066.0,+91/-110,0.106,54.54,19.99,29.342,391.11,4.052,✔️,0.0,False,GPU
63,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),1053.0,+88/-106,0.053,55.41,35.47,29.973,162.68,0.405,✔️,0.0,False,CPU
64,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),1046.0,+104/-108,0.063,55.84,34.72,29.232,0.85,0.129,➖,0.0,False,GPU
65,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),1028.0,+89/-116,0.037,57.02,37.12,30.591,162.68,0.054,✔️,0.0,False,CPU
66,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),1026.0,+58/-98,0.012,57.14,42.44,27.427,139.88,3.917,✔️,0.0,False,CPU
67,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1004.0,+76/-97,0.01,58.5,50.91,27.544,1.09,0.191,✔️,0.0,False,CPU
68,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+61/-81,0.007,58.71,52.08,27.884,0.25,0.029,✔️,0.0,False,CPU
69,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),989.0,+72/-104,0.013,59.34,51.52,30.682,2.8,0.564,✔️,0.0,False,GPU
70,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),970.0,+84/-112,0.023,60.38,41.7,32.424,0.84,0.094,✔️,0.0,False,CPU
71,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),950.0,+54/-78,0.0,61.44,50.26,31.061,15.8,0.029,✔️,0.0,False,CPU
72,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),924.0,+67/-131,0.001,62.73,46.67,32.209,139.88,0.193,✔️,0.0,False,CPU
73,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),630.0,+98/-167,0.0,71.53,65.48,46.1,0.15,0.023,✔️,0.0,False,CPU
