#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
64,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818) [25.49% IMPUTED],1085.0,+47/-46,0.053,55.95,41.9,23.826,13.12,2.52,➖,25.49,True,GPU
65,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1085.0,+44/-46,0.031,55.98,44.42,26.598,185.31,0.6,✔️,0.0,False,CPU
66,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1074.0,+34/-43,0.01,56.89,44.89,23.003,9.99,0.126,✔️,0.0,False,CPU
67,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),1050.0,+44/-41,0.017,58.73,45.1,27.951,185.31,0.258,✔️,0.0,False,CPU
68,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),1038.0,+54/-64,0.03,59.64,50.62,26.631,3.23,0.919,✔️,0.0,False,GPU
69,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584) [25.49% IMPUTED],1010.0,+58/-67,0.035,61.66,44.56,27.783,0.79,0.123,➖,25.49,True,GPU
70,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1007.0,+48/-57,0.011,61.89,54.2,26.35,1.87,0.283,✔️,0.0,False,CPU
71,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),1004.0,+52/-62,0.007,62.08,45.76,25.855,2.86,0.373,✔️,0.0,False,CPU
72,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+41/-39,0.001,62.36,57.59,26.443,0.43,0.054,✔️,0.0,False,CPU
73,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),991.0,+58/-77,0.017,62.95,43.8,27.991,129.08,1.801,✔️,0.0,False,CPU
74,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),989.0,+84/-95,0.075,63.14,26.26,30.615,384.75,5.348,✔️,0.0,False,GPU
75,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),958.0,+58/-99,0.033,65.09,46.59,33.839,237.63,0.424,✔️,0.0,False,CPU
76,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),935.0,+65/-105,0.022,66.51,48.93,34.377,237.63,0.085,✔️,0.0,False,CPU
77,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),931.0,+43/-53,0.002,66.72,51.39,31.876,27.32,0.029,✔️,0.0,False,CPU
78,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),884.0,+58/-92,0.008,69.26,53.37,32.934,129.08,0.18,✔️,0.0,False,CPU
79,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),860.0,+64/-113,0.013,70.4,53.92,36.973,1.19,0.12,✔️,0.0,False,CPU
80,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),638.0,+76/-88,0.0,77.6,69.21,46.096,0.19,0.036,✔️,0.0,False,CPU
