,model,season,region_id,source,term,value
1539,MPI-ESM1-2-LR,DJF,21,conversion,bias,0.0068814932942823145
1540,MPI-ESM1-2-LR,DJF,21,conversion,change,0.00794454745741972
1541,MPI-ESM1-2-LR,DJF,21,conversion,uncalibrated change,0.009821762031575115
1542,MPI-ESM1-2-LR,DJF,21,dynamical,bias,0.0033137654040229546
1543,MPI-ESM1-2-LR,DJF,21,dynamical,change,-0.006322053501997127
1544,MPI-ESM1-2-LR,DJF,21,dynamical,uncalibrated change,-0.007808843169085971
1545,MPI-ESM1-2-LR,DJF,21,nonlinear,bias,0.0017713545808592814
1546,MPI-ESM1-2-LR,DJF,21,nonlinear,change,-0.0009510925442266886
1547,MPI-ESM1-2-LR,DJF,21,nonlinear,uncalibrated change,-0.0011742951700664318
1548,MPI-ESM1-2-LR,DJF,22,conversion,bias,-0.03422855206851573
1549,MPI-ESM1-2-LR,DJF,22,conversion,change,0.007712058194898629
1550,MPI-ESM1-2-LR,DJF,22,conversion,uncalibrated change,0.0016689694919569313
1551,MPI-ESM1-2-LR,DJF,22,dynamical,bias,-0.01563982629456276
1552,MPI-ESM1-2-LR,DJF,22,dynamical,change,-0.009189464049206352
1553,MPI-ESM1-2-LR,DJF,22,dynamical,uncalibrated change,-0.002955848444227247
1554,MPI-ESM1-2-LR,DJF,22,nonlinear,bias,0.011142907316032383
1555,MPI-ESM1-2-LR,DJF,22,nonlinear,change,-0.0017338197794984779
1556,MPI-ESM1-2-LR,DJF,22,nonlinear,uncalibrated change,-0.0005784177294488416
1557,MPI-ESM1-2-LR,DJF,23,conversion,bias,0.0007950238190135608
1558,MPI-ESM1-2-LR,DJF,23,conversion,change,0.009989124104996304
1559,MPI-ESM1-2-LR,DJF,23,conversion,uncalibrated change,0.007892945538463127
1560,MPI-ESM1-2-LR,DJF,23,dynamical,bias,-0.010519284597051948
1561,MPI-ESM1-2-LR,DJF,23,dynamical,change,-0.008919313626020012
1562,MPI-ESM1-2-LR,DJF,23,dynamical,uncalibrated change,-0.009212783724118096
1563,MPI-ESM1-2-LR,DJF,23,nonlinear,bias,-0.00027612986222099356
