#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
10,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1803.0,+240/-106,0.559,14.92,6.96,4.771,7126.67,336.907,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori),1797.0,+162/-109,0.566,15.15,9.64,4.895,6.86,1.346,✔️,0.0,False,GPU,model,
12,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1737.0,+146/-76,0.513,17.77,13.6,5.253,7126.67,38.573,✔️,0.0,False,GPU,model,
13,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1735.0,+157/-135,0.509,17.85,12.44,4.447,2043.54,0.78,✔️,0.0,False,GPU,model,
14,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1711.0,+273/-146,0.55,19.0,8.84,5.105,1.32,0.122,✔️,0.0,False,GPU,model,
15,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1666.0,+102/-54,0.413,21.23,19.6,6.422,4057.31,10.474,✔️,0.0,False,GPU,model,
16,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1660.0,+106/-91,0.379,21.54,18.87,6.906,1490.17,5.79,✔️,0.0,False,CPU,system,
17,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1638.0,+147/-85,0.414,22.69,19.24,6.146,2.02,0.183,➖,0.0,False,GPU,model,
18,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1631.0,+174/-148,0.409,23.08,17.04,5.854,6.94,0.519,✔️,0.0,False,GPU,model,
19,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1624.0,+177/-78,0.404,23.46,16.86,6.394,44.65,38.297,✔️,0.0,False,GPU,model,
20,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1589.0,+173/-169,0.371,25.38,8.26,8.77,3811.61,7.581,✔️,0.0,False,GPU,model,
21,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1538.0,+130/-130,0.303,28.31,23.84,7.543,4057.31,0.337,✔️,0.0,False,GPU,model,
