,TabFM+,TabFM (default),"AutoGluon 1.6 (noncommercial, 4h)",EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)",TabPFN-3 (default),"AutoGluon 1.5 (extreme, 4h)",RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabICLv2 (default),TabPFNv2 (T+E),RealMLP (T+E),TabDPT-Turbo (default),TabDPT (T+E),Mitra (default),"AutoGluon 1.4 (best, 4h)",LimiX (default),TabM (T+E),LightGBM (T+E),TabSwift (default),CatBoost (T+E),iLTM (T+E),TabICL (default),SAP-RPT-OSS (default),xRFM (T+E),ModernNCA (T+E),BetaTabPFN (default),XGBoost (T+E),ChimeraBoost (T+E),EBM (T+E),TorchMLP (T+E),ExtraTrees (T+E),FastaiMLP (T+E),Nori-30M (default),TabSTAR (T+E),Nori (default),RandomForest (T+E),OrionMSP (default),PerpetualBooster (T+E),TabFlex (default),KNN (T+E),Linear (T+E)
RealMLP (T+E),0.08827161,0.1388889,0.15123457,0.13765433,0.16851851,0.23641975,0.191821,0.27222222,0.2635802,0.2783951,0.43040124,,0.48765436,0.46929014,0.5299383,0.5371914,0.5145062,0.5851852,0.7148148,0.5845679,0.7444445,0.7561729,0.6391976,0.66820985,0.75740755,0.6873456,0.67530864,0.821605,0.7537038,0.79382706,0.7907407,0.82006174,0.86064816,0.79444444,0.79475313,0.817284,0.8851852,0.8515432,0.9333333,0.88209873,0.90339494,0.92006177
TabDPT-Turbo (default),0.104629636,0.12067902,0.1271605,0.18888888,0.14444447,0.23580249,0.28086418,0.33734566,0.325,0.29475302,0.44660494,0.5123457,,0.50987655,0.48117283,0.54043204,0.57808644,0.5310185,0.61141974,0.68657416,0.6456791,0.6611111,0.62407416,0.6361111,0.66635805,0.6382716,0.6333333,0.6858024,0.6891974,0.71265435,0.7391975,0.8208333,0.81543213,0.7799382,0.7728395,0.7845679,0.8712963,0.9021605,0.88086426,0.9459877,0.9296296,0.8913581
TabDPT (T+E),0.09320988,0.12067902,0.099537045,0.20478398,0.116049394,0.24197531,0.2404321,0.33858025,0.33364204,0.2773148,0.46851853,0.53070986,0.49012348,,0.5,0.55339503,0.5365741,0.5520061,0.6222222,0.6483024,0.63703704,0.69907403,0.59398144,0.64382714,0.6844137,0.6817901,0.60833335,0.6720679,0.7052469,0.7347223,0.73564816,0.82191354,0.77839506,0.82160497,0.7580247,0.82685196,0.8734567,0.88148147,0.8811729,0.90740746,0.9310186,0.8675926
Mitra (default),0.09475309,0.10555556,0.13950618,0.14290124,0.18117285,0.22314817,0.27299383,0.26820987,0.26635802,0.28564808,0.44814813,0.47006172,0.5188272,0.5,,0.54135793,0.5378086,0.60370374,0.6277778,0.6154321,0.6441358,0.65509254,0.6765433,0.6598766,0.65,0.67839503,0.7302469,0.6912037,0.733642,0.81882715,0.8191358,0.7759259,0.80956787,0.7194444,0.81543213,0.73240733,0.8055556,0.82453704,0.8580247,0.88611114,0.9018519,0.9441358
"AutoGluon 1.4 (best, 4h)",0.06419754,0.09166667,0.090740755,0.10432098,0.12191358,0.25246912,0.16604939,0.2256173,0.22962962,0.23333335,0.37870368,0.46280867,0.4595679,0.446605,0.458642,,0.48055553,0.53703713,0.6987655,0.5800926,0.67932105,0.67129636,0.6015432,0.6018518,0.66712976,0.64444447,0.6694444,0.76574075,0.74320984,0.7438272,0.8077161,0.7376543,0.8250001,0.7398148,0.7814815,0.7425926,0.8299383,0.81651235,0.9320988,0.878395,0.8941358,0.9112654
LimiX (default),0.06944445,0.09768519,0.1367284,0.11697531,0.17438272,0.24351852,0.24814814,0.24660495,0.25802475,0.27330247,0.4367284,0.48549378,0.42191356,0.4634259,0.46219137,0.5194444,,0.55030864,0.59938264,0.54814816,0.60246915,0.6387346,0.6157407,0.6145061,0.6104939,0.6296297,0.6246913,0.6407407,0.7243827,0.733642,0.70987654,0.73765427,0.7199074,0.7364198,0.7796296,0.7546297,0.7725308,0.8023148,0.8197531,0.8067902,0.8589507,0.91049385
TabM (T+E),0.08811728,0.12191358,0.114814825,0.105246924,0.14722222,0.2108025,0.15462962,0.21234567,0.21820986,0.2367284,0.34104937,0.41481486,0.46898153,0.44799387,0.39629626,0.46296296,0.44969136,,0.59104943,0.55277777,0.61975306,0.61496913,0.5910494,0.62438273,0.62685186,0.6388889,0.6666666,0.69938266,0.6972223,0.784568,0.77376544,0.72870374,0.78919756,0.7185185,0.79166675,0.73209876,0.77253085,0.8092592,0.8808642,0.8796297,0.8833334,0.930247
LightGBM (T+E),0.074382715,0.09074074,0.049074076,0.091358036,0.074228406,0.16141976,0.12283952,0.17283951,0.18333335,0.20987655,0.3322531,0.28518522,0.38858026,0.37777779,0.37222221,0.30123457,0.4006173,0.40895063,,0.5246914,0.5280864,0.5189815,0.5407407,0.5450618,0.56913584,0.53734565,0.5496914,0.712963,0.65185183,0.7158952,0.65679014,0.71990746,0.73456794,0.7388889,0.7762346,0.7419753,0.8077161,0.8117284,0.9089507,0.86080253,0.8904321,0.9077161
TabSwift (default),0.09043211,0.12993829,0.08950618,0.13425925,0.09567902,0.12283952,0.16481481,0.2367284,0.21419753,0.19567901,0.35925925,0.41543213,0.31342593,0.3516975,0.38456786,0.41990736,0.45185184,0.44722223,0.47530863,,0.4910494,0.5197531,0.4987654,0.58765435,0.528395,0.5191357,0.54444444,0.55123454,0.53240734,0.62654316,0.67037034,0.7033951,0.7669753,0.6978395,0.7904321,0.72438264,0.75401235,0.8774692,0.85740745,0.93765426,0.8820988,0.86574066
CatBoost (T+E),0.049382724,0.07561728,0.05679013,0.047839507,0.08734569,0.14783953,0.1287037,0.15709877,0.13395064,0.19043213,0.32870376,0.25555554,0.35432103,0.36296296,0.35586423,0.32067898,0.39753085,0.38024697,0.47191367,0.5089506,,0.50401235,0.53549385,0.5746913,0.5453704,0.55864197,0.5632716,0.6100309,0.6145061,0.6598765,0.65771604,0.7243827,0.700926,0.7240741,0.77160496,0.71944445,0.8172839,0.77006173,0.87808645,0.83549386,0.88179016,0.8858025
