# x_m,y_m,w_tr_right_m,w_tr_left_m
418.449,115.35,9.65,9.25
423.366,116.234,9.48,10.12
428.304,116.918,9.92,9.58
433.235,117.661,9.43,9.77
438.193,118.121,9.17,9.43
443.13,118.766,9.31,9.49
448.081,119.264,9.32,8.48
453.057,119.466,8.75,9.75
458.028,119.669,8.5,9.8
462.986,119.989,8.19,6.71
467.949,120.198,7.79,7.11
472.904,120.453,7.46,7.44
477.832,121.051,7.5,7.4
482.761,121.643,7.56,7.44
487.691,122.237,7.45,7.45
492.622,122.833,7.47,7.43
497.556,123.427,7.42,7.38
502.485,124.19,7.67,7.23
507.412,125.21,8.11,6.79
512.351,126.185,8.54,8.26
517.301,127.175,5.72,7.18
522.264,128.008,5.88,6.42
527.233,128.578,6.12,6.78
532.198,128.622,6.2,6.3
537.145,128.375,6.18,7.02
542.037,127.559,6.01,6.89
546.862,126.566,5.91,6.59
551.556,125.111,8.92,8.08
556.112,123.514,8.59,8.71
560.591,122.126,8.71,7.19
564.994,120.786,9.06,7.14
569.245,119.195,5.97,7.13
573.209,117.113,5.81,7.29
577.094,114.914,5.94,7.06
580.621,112.101,8.87,6.23
584.303,109.353,8.81,7.89
587.899,106.343,8.71,7.09
591.806,103.449,5.68,7.22
595.47,100.186,5.84,6.36
599.131,96.809,6.2,6.6
602.169,92.905,6.08,6.42
605.124,88.915,5.94,7.06
607.471,84.495,5.52,5.98
609.727,80.006,5.22,7.18
612.199,75.649,8.78,6.22
614.795,71.375,8.89,6.21
617.29,67.042,9.09,10.71
620.12,62.937,9.51,10.69
622.954,58.839,10.06,10.14
624.984,54.236,9.59,10.21
626.973,49.629,9.12,11.08
628.937,45.033,8.58,6.52
630.869,40.448,7.87,7.03
632.803,35.897,7.54,7.46
635.159,31.616,8.08,7.42
637.49,27.34,7.48,7.42
639.832,23.087,7.59,7.51
642.223,18.87,7.66,7.44
644.574,14.639,7.7,7.4
646.901,10.397,7.74,7.46
649.904,6.403,8.44,6.86
652.954,2.35,9.42,6.08
655.905,-1.838,2.94,5.56
658.844,-6.157,4.41,6.09
661.562,-10.685,5.83,5.55
663.216,-15.557,6.4,7.38
664.425,-20.582,6.78,7.38
665.282,-25.719,7.12,7.04
665.647,-30.932,7.3,7.06
665.655,-36.17,7.44,7.3
665.301,-41.4,7.54,8.0
664.606,-46.592,7.58,8.04
663.412,-51.674,7.39,7.73
662.022,-56.688,7.23,7.58
660.347,-61.594,7.0,5.8
658.388,-66.372,7.07,7.74
656.227,-71.038,5.37,6.13
654.022,-75.659,5.98,5.72
651.495,-80.1,5.46,5.44
648.845,-84.448,5.31,5.39
646.22,-88.784,5.38,5.22
643.827,-93.236,5.9,4.9
641.405,-97.666,5.86,4.54
638.955,-102.076,5.95,7.35
636.524,-106.492,6.61,7.29
634.068,-110.888,6.88,6.62
631.371,-115.123,7.09,6.91
628.636,-119.325,6.87,6.83
626.048,-123.611,6.73,6.87
623.395,-127.847,7.21,6.69
620.716,-132.063,5.95,6.75
617.938,-136.221,6.87,7.13
615.344,-140.508,7.22,6.88
612.59,-144.703,7.6,6.6
609.653,-148.786,6.09,7.31
606.724,-152.883,6.43,7.67
603.794,-156.988,5.62,4.48
600.773,-161.037,5.56,4.94
597.812,-165.139,5.95,5.15
595.057,-169.411,5.39,5.21
592.264,-173.688,5.0,5.2
589.421,-177.971,5.19,5.31
586.515,-182.262,5.67,5.53
583.358,-186.401,5.71,5.29
579.957,-190.385,5.45,6.55
576.302,-194.188,5.76,6.24
572.401,-197.798,6.0,6.0
568.15,-201.051,6.0,6.0
563.698,-204.086,6.0,6.0
559.04,-206.863,6.0,6.0
554.179,-209.337,6.0,6.0
549.129,-211.465,6.0,6.0
543.919,-213.204,6.0,6.0
538.608,-214.527,6.0,6.0
533.26,-215.453,6.0,6.0
527.936,-216.258,6.24,5.76
522.601,-216.568,6.29,5.71
517.3,-216.672,4.93,6.47
512.036,-216.504,5.63,5.17
506.826,-216.03,5.03,5.27
501.694,-215.162,4.81,5.19
496.575,-214.472,5.82,4.98
491.535,-213.436,5.51,5.09
