station_shell_m,station_new_m,lat,lon,w_left_m,w_right_m,width_m,centerline_shift_m
780.0,771.3154070055584,25.492904221908837,51.4491294246505,8.210000000000116,7.590000000000107,15.800000000000225,0.3900000000004316
785.0,776.3151164976737,25.49287337214882,51.449165711286966,8.170000000000115,7.830000000000111,16.000000000000227,0.5300000000004337
790.0,781.3324092937922,25.49283898067752,51.4491981729965,9.41000000000018,8.090000000000067,17.50000000000025,0.0900000000003791
795.0,786.3738675978299,25.49280363366441,51.449229747323855,9.233333333333562,7.466666666666675,16.700000000000237,-0.533333333333011
800.0,791.4330405420299,25.49276815777525,51.44926142624684,5.219999999999734,6.879999999999955,12.099999999999689,-1.2199999999997346
805.0,796.5212494197921,25.492732343538645,51.44929310301663,5.67666666666646,6.489999999999902,12.16666666666636,-2.009999999999793
810.0,801.6275537125797,25.492696786555392,51.449325413005695,6.156666666666517,5.976666666666515,12.133333333333033,-2.823333333333184
815.0,806.6951239077137,25.492664339656947,51.44936093202898,6.249999999999854,6.149999999999853,12.399999999999707,-3.2499999999998543
820.0,811.7513769581941,25.4926338617002,51.449398356699575,6.133333333333218,6.633333333333164,12.766666666666382,-3.4666666666665518
825.0,816.8077089810082,25.49260384226153,51.44943622942381,6.02410256410248,7.009230769230579,13.033333333333058,-3.6907692307691455
830.0,821.8621984308433,25.49257446814837,51.44947468729889,5.892307692307637,5.107692307692363,11.0,-3.8923076923076367
835.0,826.9137434990232,25.492545787736827,51.449513737679865,5.661282051282024,5.246410256410284,10.907692307692308,-4.061282051282024
840.0,831.9620493151382,25.49251770271162,51.449553268766806,5.407692307692307,5.407692307692308,10.815384615384614,-4.207692307692307
845.0,837.0185715060323,25.49248849281979,51.44959190442335,5.361538461538462,5.361538461538461,10.723076923076924,-4.561538461538462
850.0,842.0670013673472,25.492460367086377,51.44963140194414,5.215384615384615,5.415384615384615,10.63076923076923,-4.815384615384615
855.0,847.1078297228772,25.49243330473665,51.44967169686004,4.969230769230769,5.569230769230769,10.538461538461538,-4.969230769230769
860.0,852.1418888831288,25.49240728040823,51.44971273100543,5.623076923076923,5.823076923076924,11.446153846153846,-5.023076923076923
865.0,857.1703674518002,25.49238226418212,51.44975445249463,6.176923076923077,6.176923076923076,12.353846153846153,-4.976923076923077
870.0,862.1948026921108,25.49235822237774,51.44979681601156,6.63076923076923,6.630769230769231,13.26153846153846,-4.830769230769231
875.0,867.2114675254567,25.492333534319517,51.449838633967566,7.1946153846153855,6.974615384615385,14.16923076923077,-4.794615384615385
880.0,872.2232579939912,25.49230815191172,51.44987988591619,7.868461538461538,7.208461538461538,15.076923076923077,-4.868461538461538
885.0,877.2327099799628,25.492282030801384,51.44992054599508,7.552307692307693,7.332307692307692,14.884615384615383,-5.052307692307693
890.0,882.3289664136481,25.492249921630968,51.449956834877945,8.0353846153846,6.656923076923092,14.692307692307692,-6.035384615384602
