distance_km,grade_pct,zone_type,stop_event,v_kmh,active_motor,motor_phase
1.448,-2.3539603960396116,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.449,-2.363861386138626,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.45,-2.3712871287128845,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.451,-2.3762376237623917,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.452,-2.3811881188118944,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.453,-2.381188118811899,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.454,-2.3811881188118944,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.455,-2.38118811881189,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.456,-2.378712871287134,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.457,-2.3762376237623783,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.458,-2.373762376237627,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.459,-2.3688118811881242,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.46,-2.3638613861386215,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.461,-2.356435643564372,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.462,-2.3490099009901177,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.463,-2.341584158415859,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.464,-2.331683168316845,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.465,-2.3217821782178305,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.466,-2.3118811881188206,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.467,-2.299504950495055,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.468,-2.287128712871289,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.469,-2.2772277227722837,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.47,-2.2648514851485224,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.471,-2.252475247524761,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.472,-2.240099009901,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.473,-2.2277227722772386,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.474,-2.2153465346534817,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.475,-2.2004950495049647,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.476,-2.185643564356452,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.477,-2.1707920792079305,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.478,-2.1559405940594134,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.479,-2.1435643564356432,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.48,-2.131188118811882,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.481,-2.1188118811881163,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.482,-2.1064356435643594,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.483,-2.0940594059405937,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.484,-2.0816831683168324,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.485,-2.069306930693071,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.486,-2.0569306930693054,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.487,-2.044554455445544,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.488,-2.0321782178217873,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.489,-2.0198019801980216,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.49,-2.0074257425742603,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.491,-1.9950495049504948,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.492,-1.980198019801982,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.493,-1.967821782178216,straight,False,30.000000000000004,BG 42x30 dCore,cruise
