,TabFM (default),TabFM+,"AutoGluon 1.6 (noncommercial, 4h)",EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)",TabPFN-3 (default),"AutoGluon 1.5 (extreme, 4h)",TabICLv2 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),Mitra (default),TabPFNv2 (T+E),LimiX (default),TabDPT-Turbo (default),TabICL (default),RealMLP (T+E),TabM (T+E),"AutoGluon 1.4 (best, 4h)",TabDPT (T+E),BetaTabPFN (default),TabSwift (default),LightGBM (T+E),iLTM (T+E),SAP-RPT-OSS (default),CatBoost (T+E),ChimeraBoost (T+E),xRFM (T+E),ModernNCA (T+E),XGBoost (T+E),EBM (T+E),TorchMLP (T+E),FastaiMLP (T+E),TabSTAR (T+E),OrionMSP (default),ExtraTrees (T+E),PerpetualBooster (T+E),RandomForest (T+E),TabFlex (default),Linear (T+E),KNN (T+E)
TorchMLP (T+E),0.049206354,0.05291006,0.03941799,0.058730166,0.055820107,0.05767196,0.0941799,0.105291,0.11269842,0.11957673,0.17989418,0.24656087,0.22169313,0.2677249,0.19947092,0.23492067,0.24708998,0.21957675,0.30820107,0.33174604,0.32804236,0.3719577,0.3825397,0.378836,0.37936512,0.4153439,0.4830688,0.46084657,0.4420635,0.49312168,,0.62962973,0.64788365,0.58571434,0.6407408,0.74021167,0.73703706,0.7513228,0.8060847,0.82910055
FastaiMLP (T+E),0.077248685,0.08042329,0.07513228,0.08306879,0.06269841,0.09973545,0.118518524,0.10740741,0.16402118,0.1462963,0.16825397,0.22883599,0.2648148,0.19470899,0.20370372,0.19074075,0.24603176,0.23492067,0.26666665,0.30264547,0.22486773,0.31851852,0.30423284,0.32857147,0.33227515,0.40687823,0.39761907,0.43968254,0.39894176,0.45582008,0.37037042,,0.5994709,0.59047616,0.5820106,0.6809524,0.6843916,0.75925916,0.7666666,0.8227513
TabSTAR (T+E),0.16455027,0.17354497,0.19259258,0.1910053,0.19312169,0.17089947,0.23386244,0.18359789,0.22539684,0.22698414,0.22592592,0.25502646,0.25978836,0.24761906,0.25820106,0.27142856,0.26455027,0.28148147,0.2989418,0.22486773,0.21481483,0.29153436,0.3404762,0.36984128,0.31005293,0.29417992,0.41428572,0.39947093,0.33597887,0.36296296,0.35211644,0.40052915,,0.4777778,0.5338624,0.584127,0.5650794,0.61851853,0.662963,0.70476186
OrionMSP (default),0.043386247,0.043915346,0.058730166,0.07671958,0.04603175,0.07566138,0.084391534,0.07089947,0.12910053,0.11005291,0.20714287,0.22698414,0.18915346,0.14867726,0.17830689,0.24973547,0.2904762,0.27698413,0.1936508,0.2857143,0.17830689,0.29417992,0.31349206,0.36031747,0.38306877,0.3465609,0.35238096,0.44126987,0.38544977,0.36455026,0.41428572,0.40952381,0.5222222,,0.4973545,0.6153439,0.5798942,0.74285716,0.7957672,0.71428573
ExtraTrees (T+E),0.050264552,0.050264545,0.031216934,0.04179894,0.032804232,0.045502648,0.078306876,0.11507938,0.07195767,0.12433863,0.14920637,0.1489418,0.1777778,0.17380954,0.13544975,0.1904762,0.20634921,0.26031747,0.1740741,0.19206351,0.21322753,0.2309524,0.27804232,0.32116404,0.25873017,0.33333334,0.33386245,0.36031744,0.29682538,0.31243387,0.35925928,0.4179894,0.46613756,0.5026455,,0.5560847,0.6500001,0.6544973,0.70925933,0.8687831
PerpetualBooster (T+E),0.02010582,0.032275133,0.034920637,0.033862434,0.04391535,0.070370376,0.061375663,0.08783069,0.07566138,0.05396826,0.17830689,0.17566137,0.15661375,0.16666666,0.11746032,0.10158731,0.14867726,0.0910053,0.18201058,0.2148148,0.17989418,0.13227515,0.14814815,0.25555557,0.1915344,0.24973547,0.27142859,0.31005287,0.25132278,0.30052912,0.25978836,0.31904763,0.415873,0.3846561,0.4439153,,0.50476193,0.5301587,0.6322751,0.6719577
RandomForest (T+E),0.027513228,0.027513228,0.040740743,0.02010582,0.040740743,0.05714286,0.06190476,0.08624339,0.06402117,0.07724868,0.14550266,0.1026455,0.14550264,0.11587302,0.11693122,0.12539683,0.184127,0.15079367,0.11851851,0.14179894,0.1899471,0.15767197,0.18941799,0.26798946,0.17619048,0.26190478,0.2296296,0.31481484,0.18333335,0.2783069,0.26296297,0.31560847,0.43492067,0.42010576,0.35000002,0.49523807,,0.55185175,0.6656085,0.7338624
TabFlex (default),0.054497354,0.05767196,0.051322754,0.08624339,0.051322754,0.06666666,0.08994709,0.07513228,0.09153439,0.10952381,0.10952382,0.16031748,0.1936508,0.08783069,0.13068783,0.2005291,0.18412699,0.18835981,0.15873016,0.1777778,0.08148149,0.22910053,0.20264551,0.18624337,0.27724868,0.25873014,0.21587299,0.32751322,0.27116403,0.23756613,0.24867725,0.24074073,0.3814815,0.25714287,0.34550261,0.46984133,0.44814822,,0.5687831,0.58148146
Linear (T+E),0.049206346,0.04761905,0.06349207,0.06190476,0.06031746,0.07301587,0.0873016,0.06560847,0.094708994,0.08306878,0.08783069,0.119576715,0.12645502,0.121164024,0.12116404,0.13544974,0.11005291,0.13941799,0.16031748,0.0862434,0.11746031,0.13121693,0.20846562,0.16719578,0.1862434,0.20105818,0.1978836,0.3206349,0.1957672,0.16084655,0.19391534,0.23333333,0.33703703,0.20423281,0.29074073,0.36772487,0.33439153,0.43121693,,0.48730165
KNN (T+E),0.02010582,0.032804232,0.027513228,0.020634921,0.024338625,0.03703704,0.052910056,0.037566137,0.04656085,0.06772486,0.104761906,0.06666667,0.123280436,0.06084656,0.06402116,0.10952382,0.122751325,0.0957672,0.092857145,0.0973545,0.12857144,0.1037037,0.14126985,0.20687832,0.12962964,0.18386243,0.13677248,0.24417989,0.15026456,0.12962963,0.17089947,0.17724867,0.29523808,0.2857143,0.13121694,0.32804236,0.26613757,0.4185185,0.5126984,
