#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
55,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1145.0,+98/-106,0.168,46.91,11.48,26.289,40588.15,22.575,✔️,0.0,False,GPU
56,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1113.0,+74/-78,0.053,49.44,24.54,26.459,571.73,0.129,✔️,0.0,False,CPU
57,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1110.0,+70/-70,0.043,49.68,29.63,26.266,463.05,147.937,✔️,0.0,False,GPU
58,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1075.0,+63/-76,0.035,52.29,39.06,32.395,391.09,1.052,✔️,0.0,False,CPU
59,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1064.0,+57/-63,0.015,53.1,36.59,27.705,11.29,0.204,✔️,0.0,False,CPU
60,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),1051.0,+98/-141,0.113,54.02,19.04,31.674,502.34,7.328,✔️,0.0,False,GPU
61,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),1044.0,+83/-96,0.068,54.51,33.48,30.603,2.59,0.533,➖,0.0,False,GPU
62,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),1040.0,+59/-80,0.021,54.76,38.0,33.895,391.09,0.404,✔️,0.0,False,CPU
63,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),1030.0,+71/-104,0.023,55.46,47.63,29.981,4.95,1.012,✔️,0.0,False,GPU
64,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),1027.0,+77/-93,0.054,55.65,35.07,33.817,483.07,0.874,✔️,0.0,False,CPU
65,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),1013.0,+64/-74,0.002,56.58,36.48,29.013,5.04,0.645,✔️,0.0,False,CPU
66,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),1011.0,+84/-103,0.027,56.7,35.09,31.576,121.17,1.63,✔️,0.0,False,CPU
67,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),1005.0,+80/-95,0.038,57.08,36.49,34.329,483.07,0.113,✔️,0.0,False,CPU
68,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+66/-80,0.007,57.41,50.01,31.637,0.46,0.068,✔️,0.0,False,CPU
69,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1000.0,+80/-96,0.011,57.41,49.47,30.9,3.61,0.552,✔️,0.0,False,CPU
70,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),953.0,+54/-78,0.0,60.17,40.86,36.54,56.11,0.048,✔️,0.0,False,CPU
71,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),932.0,+90/-125,0.024,61.32,41.43,37.408,2.39,0.143,✔️,0.0,False,CPU
72,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),923.0,+102/-105,0.015,61.79,42.21,36.94,121.17,0.136,✔️,0.0,False,CPU
73,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),604.0,+89/-150,0.0,71.61,65.15,51.749,0.28,0.023,✔️,0.0,False,CPU
